,,Die Zerstörung,Die Jagd,Die Gelehrsamkeit,Die Harmonie,Die Nichtigkeit,Die Bewahrung,Der Überfluss
Physisch,5,Clara|Trailblazer|Yunli,Boothill,Argenti,Robin,,,
Physisch,4,,Sushang,,Hanya,Luka,,Natasha
Feuer,5,Glühwürmchen,Topaz & Kontie,Himeko,,Jiaoqiu,Trailblazer,Lingsha
Feuer,4,Hook,,,Asta,Guinaifen,,Gallagher
Eis,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
Eis,4,Misha,,Herta,,Pela,7. März,
Blitz,5,,,Jing Yuan,,Acheron|Kafka,,Bailu
Blitz,4,Arlan,Moze,Serval,Tingyun,,,
Wind,5,Blade,Feixiao,,Bronya,Schwarzer Schwan,,Huohuo
Wind,4,,Dan Heng,,,Sampo,,
Quanten,5,,Seele,Jade,Sparkle,Silberwolf,Fu Xuan,
Quanten,4,Xueyi,,Qingque,,,,Lynx
Imaginär,5,Dan Heng – Imbibitor Lunae,Dr. Wahrheit,,Trailblazer,Welt,Aventurin,Luocha
Imaginär,4,,7. März,,Yukong,,,
