,,Разрушение,Охота,Эрудиция,Гармония,Небытие,Сохранение,Изобилие
Физический,5,Клара|Первопроходец|Юньли,Бутхилл,Аргенти,Зарянка,,,
Физический,4,,Сушан,,Ханья,Лука,,Наташа
Огненный,5,Светлячок,Топаз и Счетовод,Химеко,,Цзяоцю,Первопроходец,Линша
Огненный,4,Хук,,,Аста,Гуйнайфэнь,,Галлахер
Ледяной,5,Цзинлю,Яньцин,,Жуань Мэй,,Гепард,
Ледяной,4,Миша,,Герта,,Пела,Март 7,
Электрический,5,,,Цзин Юань,,Ахерон|Кафка,,Байлу
Электрический,4,Арлан,Моцзэ,Сервал,Тинъюнь,,,
Ветряной,5,Блэйд,Фэйсяо,,Броня,Чёрный Лебедь,,Хохо
Ветряной,4,,Дань Хэн,,,Сампо,,
Квантовый,5,,Зеле,Яшма,Искорка,Серебряный Волк,Фу Сюань,
Квантовый,4,Сюэи,,Цинцюэ,,,,Рысь
Мнимый,5,Дань Хэн: Пожиратель Луны,Доктор Рацио,,Первопроходец,Вельт,Авантюрин,Лоча
Мнимый,4,,Март 7,,Юйкун,,,
